 276 (20, 8) U+2555 '╕'
 277 (21, 8) U+2556 '╖'
 278 (22, 8) U+2557 '╗'
 279 (23, 8) U+2558 '╘'
 280 (24, 8) U+2559 '╙'
 281 (25, 8) U+255A '╚'
 282 (26, 8) U+255B '╛'
 283 (27, 8) U+255C '╜'
 284 (28, 8) U+255D '╝'
 285 (29, 8) U+255E '╞'
 286 (30, 8) U+255F '╟'
 287 (31, 8) U+2560 '╠'
 288 ( 0, 9) U+2561 '╡'
 289 ( 1, 9) U+2562 '╢'
 290 ( 2, 9) U+2563 '╣'
 291 ( 3, 9) U+2564 '╤'
 292 ( 4, 9) U+2565 '╥'
 293 ( 5, 9) U+2566 '╦'
 294 ( 6, 9) U+2567 '╧'
 295 ( 7, 9) U+2568 '╨'
 296 ( 8, 9) U+2569 '╩'
 297 ( 9, 9) U+256A '╪'
 298 (10, 9) U+256B '╫'
 299 (11, 9) U+256C '╬'
 300 (12, 9) U+256D '╭'
 301 (13, 9) U+256E '╮'
 302 (14, 9) U+256F '╯'
 303 (15, 9) U+2570 '╰'
 304 (16, 9) U+2571 '╱'
 305 (17, 9) U+2572 '╲'
 306 (18, 9) U+2573 '╳'
 307 (19, 9) U+2574 '╴'
 308 (20, 9) U+2575 '╵'
 309 (21, 9) U+2576 '╶'
 310 (22, 9) U+2577 '╷'
 311 (23, 9) U+2578 '╸'
 312 (24, 9) U+2579 '╹'
 313 (25, 9) U+257A '╺'
 314 (26, 9) U+257B '╻'
 315 (27, 9) U+257C '╼'
 316 (28, 9) U+257D '╽'
 317 (29, 9) U+257E '╾'
 318 (30, 9) U+257F '╿'
 319 (31, 9) U+2580 '▀'
 320 ( 0,10) U+2581 '▁'
 321 ( 1,10) U+2582 '▂'
 322 ( 2,10) U+2583 '▃'
 323 ( 3,10) U+2584 '▄'
 324 ( 4,10) U+2585 '▅'
 325 ( 5,10) U+2586 '▆'
 326 ( 6,10) U+2587 '▇'
 327 ( 7,10) U+2588 '█'
 328 ( 8,10) U+2589 '▉'
 329 ( 9,10) U+258A '▊'
 330 (10,10) U+258B '▋'
 331 (11,10) U+258C '▌'
 332 (12,10) U+258D '▍'
 333 (13,10) U+258E '▎'
 334 (14,10) U+258F '▏'
 335 (15,10) U+2590 '▐'
 336 (16,10) U+2591 '░'
 337 (17,10) U+2592 '▒'
